Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Cheese, soy",996,3.8,23.4,3.9,0.7,407,1.72,22,0.07,0,0,0,4,2.35,30,4.6,per 100g
"Cream, thickened, regular fat (approximately 35%)","1,409",2,36.1,2.4,2.4,27,0.19,64,0,0.2,0,0,280,0,60,0,per 100g
"Cream, imitation (non-dairy)","1,108",1,21.8,17.7,16.3,57,0.14,0,0,0,0,0,0,0,17,6,per 100g
"Cream, sour, regular fat","1,414",1.9,36.3,2,2,19,0.18,57,0,0.1,0,0,343,0,50,0,per 100g
"Cream, sour, light (approximately 18% fat)",868,3.6,19.7,4.5,4.5,19,0.18,57,0,0.1,0,0,192,0,80,0,per 100g
"Ice cream, vanilla flavour, regular fat",788,3.7,10.6,20.5,18.4,48,0.23,10,0.04,0,0,0,182,0.1,93,1,per 100g
"Ice cream, vanilla flavour, premium or rich (~15% fat)",916,3.2,13.5,22.5,19.7,37,0.33,17,0,0.4,0,0,171,0,110,0,per 100g
"Ice confection, stick, milk-based, various flavours",563,2.9,5.3,19.8,19.8,40,0.34,8,0.04,0,0.03,0,46,0.08,88,2,per 100g
"Ice confection, stick, water-based, various flavours",280,0.2,0,17.1,17.1,6,0.01,0,0,0,0,0,0,0.07,2,0,per 100g
"Ice confection, stick or tub, fruit juice or fruit flavoured",306,0.2,0.1,18.7,18.7,6,0.03,8,0.02,0,0,2,1,0.21,3,0.2,per 100g
"Milk, cow, fluid, regular fat (3.5% fat)",271,3.3,3.4,5.4,5.4,35,0.33,5,0.02,0.4,0.1,0,44,0.02,106,1.2,per 100g
"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",253,3.1,3.2,5.1,5.1,40,0.12,14,0.07,0.6,0.1,0,49,0.44,110,0.5,per 100g
"Milk, cow, fluid, reduced fat (1% fat)",181,3.3,1.2,4.8,4.8,36,0.37,5,0.01,0.2,0.1,0,14,0.01,115,0.7,per 100g
"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates",213,4.5,1.4,5.1,5.1,40,0.12,26,0.04,0.6,0.1,0,11,0.44,110,0.5,per 100g
"Milk, cow, fluid, skim (0.15% fat)",146,3.6,0,5.3,5.3,38,0.4,9,0.02,0.8,0.1,0,0,0,115,1.4,per 100g
"Milk, cow, fluid, skim (0.15% fat), added milk solids",173,4.2,0,6.3,6.3,46,0.46,9,0.02,0.8,0.11,0,0,0,135,1.6,per 100g
"Milk, cow, fluid, lactose free, regular fat (3.5% fat)",249,3.1,3.2,4.7,4.5,35,0.38,0,0.02,0.4,0.1,0,52,0,110,2.1,per 100g
"Milk, cow, fluid, lactose free, reduced fat (1% fat)",184,3.4,1.2,5,4.8,41,0.38,0,0.02,0.4,0.1,0,21,0,117,2.1,per 100g
"Milk, cow, fluid, flavoured, chocolate, reduced fat",264,3.3,1.9,8.6,8.6,46,0.39,6,0,0.2,0.08,0,23,0.22,112,1.6,per 100g
"Milk, cow, canned, evaporated, regular",588,7.5,8.2,10,10,104,0.8,0,0,0.2,0.06,1,82,0.15,256,6,per 100g
"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",380,7.8,2.1,10.6,10.6,104,0.9,0,0,0.2,0.06,0,17,0.3,266,6,per 100g
"Milk, cow, canned, sweetened, condensed, regular","1,362",8.3,9.2,55,55,106,0.9,0,0,0.4,0.06,1,78,0.15,268,8,per 100g
"Milk, cow, powder, regular fat, unfortified","2,128",25.3,27.3,43,43,310,2.3,117,0.19,0.7,0.6,41,370,0,850,12,per 100g
"Milk, cow, powder, regular fat, added vitamins A & D","2,128",25.3,27.3,43,43,310,2.3,117,0.19,0.7,5.3,41,467,0,850,12,per 100g
"Milk, cow, powder, skim","1,519",34.9,0.8,56,56,420,3.3,26,0.23,1.6,0.6,13,7,0,"1,100",15,per 100g
"Milk, human/breast, mature, fluid",286,1.3,4.2,6.8,6.8,17,0.17,5,0.01,0,0.1,5,61,0.03,32,1.8,per 100g
"Custard, vanilla, regular fat",392,3.3,3,13.9,11.6,61,0.39,2,0.01,0.2,0.08,0,8,0.05,120,1,per 100g
"Custard powder, vanilla, dry mix","1,414",0.5,0.4,81.5,0.4,392,0.05,0,0,0,0,0,0,0.72,8,0,per 100g
"Custard, vanilla, prepared from dry mix",430,3.6,3.7,13.9,9.6,59,0.36,4,0.02,0.2,0.1,0,48,0.06,115,1.3,per 100g
"Dairy or yoghurt dessert, chocolate, regular fat",533,5.1,3.7,17.7,15.7,59,0.48,0,0,0,0,0,8,0.53,120,1.2,per 100g
"Yoghurt, flavoured, high fat (approx 5%)",483,4.4,4.9,12.9,12.5,47,0.44,60,0.05,0.2,0,0,73,0,150,1.1,per 100g
"Yoghurt, natural, regular fat (3% fat)",306,5.1,3.2,5,4.9,58,0.57,25,0.03,0.5,0,0,50,0,175,2.4,per 100g
"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",386,4.2,3.2,11.1,11.1,65,0.51,7,0.03,0.4,0,0,37,0.18,110,1.5,per 100g
"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",405,4.9,3.1,11.6,11.6,60,0.48,7,0.03,0.4,0,0,30,0.12,159,1.2,per 100g
"Yoghurt, vanilla flavoured, (2% fat)",408,5,1.9,14.5,13.5,52,0.57,7,0.03,0.4,0,0,38,0,170,2.1,per 100g
"Yoghurt, flavoured, low fat (approx 2%)",341,4.6,1.3,12.2,11.3,60,0.44,59,0.04,0.2,0,0,22,0,160,1.9,per 100g
"Yoghurt, flavoured, low fat (0.2%), intense sweetened, increased protein",227,9.6,0.3,2.3,1.6,35,0.44,70,0.04,0.3,0,0,0,0,110,3,per 100g
"Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)",368,5.9,0.5,13.9,12.7,66,0.7,7,0.03,0.4,0,0,0,0.1,168,2.1,per 100g
"Almond beverage, no added sugar, unfortified",65,0.5,1.4,0,0,40,0.08,0,0,0,0,0,0,0,7,0,per 100g
"Almond beverage, no added sugar, added Ca",65,0.5,1.4,0,0,43,0.06,0,0,0,0,0,0,0,66,0,per 100g
"Almond beverage, added sugar, unfortified",115,0.5,1.4,3,2.2,53,0.05,0,0,0,0,0,0,0,3,0,per 100g
"Almond beverage, added sugar & Ca",115,0.5,1.4,3,2.2,43,0.04,0,0,0,0,0,0,0,68,0,per 100g
"Almond beverage, added sugar & vitamins B1, B2 & B12 & Ca",115,0.5,1.4,3,2.2,33,0.07,0,0,0.4,0,0,0,0,120,0,per 100g
"Coconut beverage, unfortified",106,0.2,1.7,2.4,1,47,0.03,19,0,0,0,0,0,0,1,0,per 100g
"Coconut beverage, added Ca",106,0.2,1.7,2.4,1,17,0.03,19,0,0,0,0,0,0,90,0,per 100g
"Oat beverage, fluid, unfortified",224,1.3,0.8,10.2,3.1,38,0.08,0,0,0,0,0,0,0,18,0,per 100g
"Oat beverage, fluid, added calcium",224,1.3,0.8,10.2,3.1,38,0.08,0,0,0,0,0,0,0,110,0,per 100g
"Rice beverage, fluid, added calcium",255,0.3,1,12.7,3.7,62,0.07,0,0,0,0,0,0,0.2,70,0,per 100g
"Soy beverage, regular fat (3% fat), unfortified",246,3.7,2.7,4.6,2.6,44,0.15,14,0.03,0,0,0,7,0.47,13,0.7,per 100g
"Soy beverage, regular fat (3% fat), added Ca",246,3.7,2.7,4.6,2.6,44,0.15,14,0.03,0,0,0,7,0.47,115,0.7,per 100g
"Soy beverage, regular fat (3% fat), added Ca & vitamins A, B1, B2 & B12",257,4.4,2.7,4.6,2.6,44,0.15,14,0,0.9,0,0,80,0.47,115,0.7,per 100g
"Soy beverage, reduced fat (1% fat), added Ca & vitamins A, B1, B2 & B12",187,3,0.9,5.7,1.7,45,0.14,14,0.03,0.9,0,0,80,0.46,115,0.7,per 100g
"Meat alternative, legume and/or vegetable base, as purchased",755,7.5,5.9,21.3,4.9,360,0.85,76,0.06,0,0,0,108,1.8,49,5.2,per 100g
"Meat alternative, legume and/or vegetable base, cooked",932,9.2,7.3,26.3,6,311,0.89,38,0.04,0,0,0,107,1.78,51,5.4,per 100g
"Meat alternative, mycoprotein/fungus base, commercial, as purchased",478,13.8,4.1,2.5,0,170,5.8,88,0.06,0,0,0,0,0.4,200,1.1,per 100g
"Meat alternative, mycoprotein/fungus base, cooked",655,18.8,5.6,3.4,0,233,7.94,97,0.08,0,0,0,0,0.55,274,1.5,per 100g
"Meat alternative, protein (soy/wheat/pea) base, as purchased",944,19.4,13.4,3.2,0.8,520,1.4,52,0.07,0,0,0,3,4,74,11,per 100g
"Meat alternative, protein (soy/wheat/pea) base, cooked","1,165",23.9,16.5,4,1,642,1.73,61,0.08,0,0,0,4,4.94,91,13.6,per 100g
"Sausage, vegetarian style, unfortified, raw",807,19,9.4,7.4,1.9,600,0.65,22,0.35,0,0,5,74,2.5,34,7,per 100g
"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",807,19,9.4,7.4,1.9,600,4.4,22,0.35,2,0,5,74,3.5,34,7,per 100g
"Tofu (soy bean curd), firm, as purchased",543,12.8,8.3,0,0,22,1.45,41,0.06,0,0,0,0,2.35,206,4.6,per 100g
"Sausage, vegetarian style, fried, no added fat",849,20,9.9,7.8,2,632,3.45,22,0.35,1.5,0,5,78,3.37,36,7.4,per 100g
"Yoghurt, almond based, flavoured",384,2.6,4.5,9.2,5.5,5,0.28,0,0.03,0,0,0,0,0.39,34,0,per 100g
"Yoghurt, coconut based, flavoured",519,1.1,9,9.2,4.7,18,0.15,0,0,0,0,0,1,0.27,3,1.1,per 100g
"Yoghurt, soy based, berry flavoured, regular fat (3% fat)",416,3.6,3.7,12.6,8.4,55,0.15,75,0,0,0,0,0,0.59,120,0,per 100g
"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",309,3.6,0.8,12.6,8.4,55,0.15,75,0,0,0,0,0,0.59,120,0,per 100g
"Butter, plain, salted","3,036",1.1,81.3,0.6,0.6,776,0.06,6,0,0,1.2,0,858,0,17,1.3,per 100g
"Butter, plain, no added salt","3,036",1.1,81.3,0.6,0.6,10,0.06,6,0,0,1.2,0,858,0,17,1.3,per 100g
"Ghee, clarified butter","3,701",0.3,99.9,0,0,2,0.01,0,0,0,1.2,0,940,0,4,1.3,per 100g
"Dairy blend, butter & edible oil spread (approximately 80% fat), sodium 600 mg/100 g","2,915",0.5,78.1,1,0.6,611,0.04,3,0,0,5.8,0,"1,437",0,17,0,per 100g
"Dairy blend, butter & edible oil spread (approximately 80% fat), reduced salt (sodium 400 mg/100 g)","2,915",0.5,78.1,1,0.6,410,0.03,3,0,0,5.8,0,657,0,12,0,per 100g
"Margarine spread, polyunsaturated (70% fat)","2,552",0,69,0,0,562,0.02,4,0,0,7.43,0,715,0,7,0,per 100g
"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)","2,636",1,70.8,0,0,283,0.04,5,0,0,7.43,0,848,0.01,3,0.3,per 100g
"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols","2,820",0.7,75.9,0,0,356,0.04,5,0,0,7.43,0,848,0.01,3,0.3,per 100g
"Margarine spread, monounsaturated (greater than 65% fat)","2,500",0.5,67.3,0,0,358,0.04,4,0,0,7.43,0,676,0,7,0,per 100g
"Margarine spread, monounsaturated (greater than 65% fat), reduced salt (sodium 360 mg/100 g)","2,565",1,68.9,0,0,362,0.04,5,0,0,5.8,0,848,0.01,3,0.3,per 100g
"Margarine spread, monounsaturated, reduced fat (55% fat) & salt (sodium 380 mg/100 g)","1,922",1,51.5,0,0,338,0.04,5,0,0,7.43,0,848,0.01,3,0.3,per 100g
"Margarine spread, monounsaturated, reduced fat (less than 65% fat)","2,342",0.5,63.1,0,0,442,0.04,5,0,0,7.43,0,848,0.01,3,0.3,per 100g
"Margarine spread, monounsaturated, olive oil blend (65% fat), reduced salt (sodium 360 mg/100 g)","2,376",1,63.8,0,0,350,0.04,5,0,0,0,0,848,0.01,3,0.3,per 100g
"Margarine spread, monounsaturated (65% fat), rice bran oil, fortified","2,425",0.3,65.4,0,0,310,0.04,4,0,0,7.5,0,839,0,7,0,per 100g
"Oil, almond","3,700",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,per 100g
"Oil, blend of monounsaturated vegetable oils","3,700",0,100,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,per 100g
"Oil, blend of polyunsaturated vegetable oils","3,700",0,100,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,per 100g
"Oil, canola","3,700",0,100,0,0,0,0.04,0,0,0,0,0,0,0,1,0,per 100g
"Oil, cottonseed","3,700",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,per 100g
"Oil, copha","3,700",0.2,99.9,0,0,1,0,0,0,0,0,0,0,0,0,0,per 100g
"Oil, grapeseed","3,700",0,100,0,0,0,0.01,0,0,0,0,0,0,0,0,0,per 100g
"Oil, linseed or flaxseed","3,699",0,100,0,0,0,0.07,0,0,0,0,0,0,0,1,0,per 100g
"Oil, mustard seed","3,700",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,per 100g
"Oil, macadamia","3,700",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,per 100g
"Oil, olive","3,695",0,99.9,0,0,0,0.01,0,0,0,0,0,2,0,0,0,per 100g
"Oil, palm","3,700",0,100,0,0,0,0,0,0,0,0,0,0,0.01,0,0,per 100g
"Oil, peanut","3,700",0,100,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,per 100g
"Oil, rice bran","3,700",0,100,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.3,per 100g
"Oil, soybean","3,700",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,per 100g
"Oil, sunflower","3,700",0,100,0,0,0,0.01,0,0,0,0,0,0,0,0,0,per 100g
"Oil, vegetable","3,700",0,100,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,per 100g
"Dripping, beef","3,703",0.2,100,0,0,0,0.01,0,0,0,0,0,4,0,0,1,per 100g
"Fat, solid, vegetable oil based","3,702",0.2,100,0,0,0,0,0,0,0,0,0,0,0,0,1,per 100g
"Egg, chicken, whole, raw",533,12.6,8.5,0.3,0.3,150,1.13,110,0.01,1.4,5.9,0,130,1.9,47,25.7,per 100g
"Egg, chicken, whole, hard-boiled",574,12.4,9.5,0.7,0.3,127,1.24,83,0.01,1.4,5.9,0,39,1.61,39,26.6,per 100g
"Egg, chicken, whole, poached",555,13.1,8.8,0.3,0.3,156,1.18,86,0.01,1.2,5.53,0,136,1.98,49,26.7,per 100g
"Egg, chicken, whole, fried, no fat added",606,14.3,9.6,0.3,0.3,170,1.29,94,0.01,1.4,6.03,0,148,2.16,53,29.2,per 100g
"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",557,12.4,9.2,0.3,0.3,120,1.2,160,0,0.5,5.9,0,60,1.6,45,38,per 100g
"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",568,12.7,9.4,0.3,0.3,122,1.22,122,0,0.4,5.42,0,61,1.63,46,38.8,per 100g
"Egg, chicken, whole, scrambled, with regular fat cows milk, no fat added",504,10.8,7.7,2.1,2,128,0.98,65,0.01,1,4.12,0,115,1.48,73,20.2,per 100g
"Egg, chicken, white (albumen), raw",196,11.2,0,0.4,0.4,175,0,7,0,0,0,0,0,0.2,5,11,per 100g
"Egg, chicken, white (albumen), hard-boiled",204,11.6,0,0.4,0.4,175,0,5,0,0.1,0,0,0,0.2,6,15,per 100g
"Egg, chicken, yolk, raw","1,311",15.6,28.2,0.2,0.2,58,2.5,120,0.16,4,17,0,449,4,100,56,per 100g
"Egg, chicken, yolk, hard-boiled","1,450",16.1,31.7,0.2,0.2,47,2.7,180,0.34,3.8,17,0,431,4.8,115,60,per 100g
"Apple, bonza, unpeeled, raw",244,0.3,0.3,11.5,11.5,0,0.1,59,0.03,0,0,2,0,0.22,6,0,per 100g
"Apple, dried","1,078",1.2,0,59.8,59.4,260,0.07,0,0.11,0,0,0,13,0.71,22,0,per 100g
"Apple, fuji, unpeeled, raw",245,0.3,0.3,12.1,12.1,2,0.05,59,0.03,0,0,5,1,0,6,0,per 100g
"Apple, golden delicious, unpeeled, raw",202,0.3,0,10.5,10.5,2,0.07,59,0.04,0,0,5,2,0.16,4,0,per 100g
"Apple, granny-smith, unpeeled, raw",202,0.3,0,10.5,10.3,1,0.07,59,0.06,0,0,5,1,0.16,5,0,per 100g
"Apple, jonathon, unpeeled, raw",226,0.3,0,11.9,11.8,1,0.1,59,0.02,0,0,5,1,0.2,4,0,per 100g
"Apple, pink lady, unpeeled, raw",242,0.2,0,12.3,12.2,1,0.02,59,0.03,0,0,9,4,0,4,0,per 100g
"Apple, red delicious, unpeeled, raw",248,0.3,0,13.5,13,1,0.06,59,0.02,0,0,6,2,0.16,5,0,per 100g
"Apple, royal gala, unpeeled, raw",222,0.4,0,12.1,11.1,1,0.03,59,0.02,0,0,2,4,0.05,5,0.5,per 100g
"Apple, red skin, unpeeled, raw",240,0.2,0,12.4,12,1,0.03,59,0.03,0,0,7,4,0.03,5,0.1,per 100g
"Apple, green skin, unpeeled, raw",202,0.3,0,10.5,10.4,2,0.07,59,0.05,0,0,5,2,0.16,4,0,per 100g
"Apricot, raw",167,0.2,0.4,7.7,7.6,0,0.14,8,0.04,0,0,3,385,0.28,13,0,per 100g
"Apricot, dried",886,4.3,0.2,41.5,40.5,37,0.8,0,0.1,0,0,1,397,3.1,67,0,per 100g
"Apricot, canned in pear juice",192,0.8,0,8.2,8.2,4,0.26,19,0.03,0,0,5,96,0.46,12,0,per 100g
"Apricot, canned in pear juice, drained",196,1,0,7.8,7.8,3,0.3,2,0.05,0,0,5,163,0.5,15,0.1,per 100g
"Apricot, canned in pear juice, juice only",187,0.5,0,8.7,8.7,5,0.2,44,0,0,0,5,0,0.4,7,0,per 100g
"Banana, cavendish, peeled, raw",394,1.4,0.2,19.6,12.8,0,0.16,33,0.2,0,0,4,6,0.29,5,0.2,per 100g
"Banana, lady finger or sugar, peeled, raw",474,1.5,0.1,25,18.2,2,0.2,33,0.2,0,0,19,8,0.4,10,0,per 100g
"Blackberry, raw",211,1.4,0.3,7.5,7.5,0,0.24,34,0.02,0,0,38,53,0.42,30,2,per 100g
"Blueberry, raw",194,0.5,0,9.6,9.2,2,0.07,0,0,0,0,2,0,0.35,11,0,per 100g
"Blueberry, purchased frozen",199,0.5,0,9.9,9.4,2,0.08,0,0,0,0,2,0,0.36,11,0,per 100g
"Cherry, raw",250,0.8,0.2,10.9,10.9,0,0.1,4,0.05,0,0,19,9,0.28,22,0.7,per 100g
"Cherry, black, canned in syrup",299,0.7,0,16,15.8,4,0.05,2,0.05,0,0,0,6,1.42,8,0,per 100g
"Cherry, black, canned in syrup, drained",310,0.9,0.1,16,15.7,5,0.1,4,0.05,0,0,0,12,1.6,10,0,per 100g
"Cherry, black, canned in syrup, syrup only",288,0.5,0,16,16,3,0,0,0.05,0,0,0,0,1.2,6,0,per 100g
"Cumquat (kumquat), raw",266,1.9,0.9,9.4,9.4,10,0.17,17,0.04,0,0,44,29,0.86,62,0,per 100g
"Cranberry, raw",131,0.5,0.1,4.3,4.3,2,0.09,1,0.06,0,0,14,6,0.23,8,0.1,per 100g
"Cranberry, dried, sweetened","1,330",0.2,1.1,77.5,72.6,5,0.1,0,0.04,0,0,0,4,0.39,9,0.6,per 100g
"Currant, dried","1,167",2.8,0.5,65.1,63.2,46,0.5,10,0.3,0,0,0,2,2.3,87,0.6,per 100g
"Custard apple, African pride, peeled, raw",326,1.4,0.6,15.8,14.7,4,0.2,20,0.22,0,0,43,1,0.3,17,0.2,per 100g
"Date, dried","1,212",2,0.2,67.2,65.9,14,0.6,19,0.16,0,0,5,3,2.6,47,3,per 100g
"Feijoa, raw",176,0.6,0.4,8,7.7,2,0.06,0,0.05,0,0,30,5,0.11,6,0.2,per 100g
"Fig, dried","1,082",3.6,0.7,54.5,52.6,39,0.5,9,0.11,0,0,0,2,1.4,200,0.1,per 100g
"Fig, fresh, unpeeled, raw",195,1.4,0.3,8.1,8.1,3,0.3,6,0.11,0,0,3,25,0.3,38,0.2,per 100g
"Fruit salad, canned in fruit juice",200,0.7,0.1,9.8,9.8,4,0.28,20,0.02,0,0,4,64,0.36,6,0,per 100g
"Fruit salad, canned in fruit juice, drained",207,0.8,0.2,9.5,9.5,4,0.3,3,0.03,0,0,4,108,0.4,6,0,per 100g
"Fruit salad, canned in fruit juice, juice only",191,0.4,0,10.2,10.2,4,0.25,44,0,0,0,4,3,0.3,6,0,per 100g
"Goji berry, dried","1,244",11.9,3.7,49.1,47.7,450,0.81,66,0,0,0,6,63,3.7,53,1.9,per 100g
"Grape, black muscatel/muscat, raw",349,1.1,0.1,18.8,18.8,8,0.1,0,0.03,0,0,7,12,0.3,9,0,per 100g
"Grape, black sultana, raw",278,1.2,0.1,14,14,3,0.1,0,0.03,0,0,5,9,0.2,11,0,per 100g
"Grape, green, raw",273,0.8,0,15.6,15.2,0,0.04,0,0,0,0,0,0,0.36,10,0,per 100g
"Grape, cornichon, raw",257,1.3,0.1,12.7,12.7,3,0.1,0,0.03,0,0,7,9,0.2,5,0,per 100g
"Grape, red globe, raw",322,0.9,0.2,16.3,16.3,5,0.22,0,0.03,0,0,0,0,0.42,10,0,per 100g
"Grape, waltham cross, raw",281,0.8,0.1,14.4,14.4,6,0.1,0,0.03,0,0,7,8,0.2,12,0,per 100g
"Grapefruit, peeled, raw",125,0.9,0.2,4.8,4.8,4,0.1,14,0,0,0,36,2,0.2,21,0,per 100g
"Guava, Hawaiian, raw",144,0.7,0.5,3.5,3.4,4,0.1,49,0.11,0,0,243,72,0.2,10,0.6,per 100g
"Jackfruit, peeled, raw",347,2.2,0.3,16.7,16.3,3,0.8,24,0.33,0,0,6,188,0.8,18,0,per 100g
"Kiwifruit, green (hayward), peeled, raw",230,1.2,0.7,9.1,8.8,2,0.1,32,0.36,0,0,85,9,0.26,28,1.1,per 100g
"Kiwifruit, gold, peeled, raw",244,1.2,0.5,11.1,10.9,3,0.11,39,0.05,0,0,110,8,0.21,18,0.2,per 100g
"Lemon, peeled, raw",115,0.6,0.2,1.8,1.8,2,0.1,11,0.08,0,0,48,2,0.3,20,0.4,per 100g
"Lemon peel, raw",121,1.5,0.3,0,0,6,0.25,13,0.17,0,0,129,5,0.8,134,0.7,per 100g
"Lemon, preserved",102,0.7,0.2,1.3,1.3,"4,449",0.12,9,0.08,0,0,55,2,0.35,40,0.7,per 100g
"Lime, peeled, raw",122,0.8,0.2,1.2,1.2,3,0.1,8,0.04,0,0,47,5,0.3,22,0.4,per 100g
"Loquat, peeled, raw",122,1,0.2,4.9,4.9,2,0.4,14,0.1,0,0,4,86,0.5,13,0.6,per 100g
"Lychee, peeled, raw",296,1.1,0.1,16.2,16.2,1,0.6,14,0.1,0,0,49,0,0.5,2,0.6,per 100g
"Mandarin, peeled, raw",195,0.9,0,9.8,9.8,3,0.06,26,0.07,0,0,28,66,0,29,0,per 100g
"Mandarin, canned in syrup",240,0.4,0.1,13.5,13.4,5,0.1,0,0,0,0,11,12,0.36,7,0,per 100g
"Mandarin, canned in syrup, drained",254,0.5,0.2,13.8,13.6,6,0.1,0,0,0,0,11,22,0.4,9,0,per 100g
"Mandarin, canned in syrup, syrup only",223,0.2,0,13.2,13.2,4,0.1,0,0,0,0,12,0,0.3,5,0,per 100g
"Mango, peeled, raw",237,0.4,0,13.4,12.9,0,0.07,32,0.05,0,0,24,137,0.17,9,0,per 100g
"Mango, pulped, canned",259,0.4,0,14.8,14.3,0,0.07,15,0.04,0,0,12,98,0.16,8,0,per 100g
"Melon, honey dew, white skin, peeled, raw",149,0.7,0.3,7.1,7.1,44,0.2,19,0.09,0,0,20,5,0.3,39,0.7,per 100g
"Melon, honey dew, yellow skin, peeled, raw",107,0.8,0.3,4.4,4.4,40,0.1,19,0.09,0,0,12,9,0.4,38,0.7,per 100g
"Melon, rockmelon, peeled, raw",99,0.5,0.1,4.7,4.7,14,0.12,20,0.03,0,0,34,130,0.24,7,0,per 100g
"Melon, watermelon, peeled, raw",133,0.6,0,7.3,7,3,0.06,0,0,0,0,4,48,0.1,5,0.1,per 100g
Mixed dried fruit,"1,241",2.4,0.6,71.2,68.4,18,0.31,7,0.16,0,0,1,2,1.58,57,1,per 100g
"Mulberry, raw",139,2.2,0.2,4.3,4.3,6,0.2,6,0.05,0,0,10,2,0.3,20,0.6,per 100g
"Nectarine, yellow, unpeeled, raw",178,0.8,0,9,9,0,0.13,0,0,0,0,1,8,0,4,0,per 100g
"Orange, peeled, raw",175,1,0,8.2,8.2,0,0.07,62,0.07,0,0,52,8,0,23,0,per 100g
"Orange, navel, peeled, raw",174,1,0,8.2,8.2,0,0.07,62,0.07,0,0,52,6,0,23,0,per 100g
"Orange, valencia, peeled, raw",175,1,0,8.2,8.2,0,0.07,62,0.07,0,0,52,12,0,23,0,per 100g
"Passionfruit, raw",304,3,0.3,5.7,5.7,19,0.8,14,0.1,0,0,18,125,0.6,10,0.6,per 100g
"Passionfruit, pulp, canned",424,1.5,0.2,19.8,19.8,10,0.4,7,0.05,0,0,9,62,0.3,6,0.3,per 100g
"Pawpaw (papaya), peeled, raw",142,0.4,0.1,6.9,6.9,7,0.3,37,0.04,0,0,60,152,0.5,28,0.6,per 100g
"Peach, yellow, unpeeled, raw",172,0.7,0,8.4,8.1,0,0.1,0,0.01,0,0,2,14,0,5,0,per 100g
"Peach, canned in pear juice",184,0.6,0,8.3,8.3,8,0.18,18,0.02,0,0,10,38,0.32,4,0,per 100g
"Peach, canned in pear juice, drained",191,0.8,0.1,8.2,8.2,7,0.17,0,0.02,0,0,9,63,0.27,4,0,per 100g
"Peach, canned in pear juice, juice only",174,0.4,0,8.5,8.5,10,0.2,44,0.03,0,0,12,0,0.4,4,0,per 100g
"Pear, Packham's triumph, unpeeled, raw",231,0.4,0,12.5,12.4,0,0.09,44,0.02,0,0,2,4,0.06,8,0,per 100g
"Pear, William Bartlett, unpeeled, raw",228,0.3,0,9,9,1,0.1,44,0.02,0,0,6,4,0.15,6,0,per 100g
"Pear, green skin, unpeeled, raw",278,0.4,0,12.4,12.4,0,0.09,44,0,0,0,2,4,0,8,0,per 100g
"Pear, brown skin, unpeeled, raw",264,0.3,0,10.4,10.4,2,0.1,44,0,0,0,4,2,0.2,6,0,per 100g
"Pear, canned in pear juice",194,0.5,0,8.7,8.7,6,0.23,42,0,0,0,1,1,0.33,6,0,per 100g
"Pear, canned in pear juice, drained",200,0.6,0,8.6,8.6,6,0.25,40,0,0,0,1,0,0.35,5,0,per 100g
"Pear, canned in pear juice, juice only",185,0.2,0,8.8,8.8,6,0.2,44,0,0,0,1,3,0.3,6,0,per 100g
"Pear, nashi, unpeeled, raw",209,0.4,0.1,11.1,10.6,7,0.15,44,0,0,0,2,0,0,5,1,per 100g
"Persimmon, peeled, raw",298,0.6,0.2,16.1,16.1,6,0.1,8,0.1,0,0,14,138,0.7,29,0.6,per 100g
"Pineapple, peeled, raw",152,0.5,0,7.9,7.9,0,0.17,11,0.02,0,0,39,0,0,9,0,per 100g
"Pineapple, canned in juice, drained",190,0,0,10.9,10.9,1,0.09,0,0.1,0,0,23,3,0.18,9,0,per 100g
"Pineapple, canned in pineapple juice",236,0.5,0.6,12,12,5,0,5,0.07,0,0,6,1,0.4,4,0.4,per 100g
