Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Wine, red, cooked",120,0.3,0,0.2,0.2,5,0.09,0,0,0,0,0,0,0,8,0,per 100g
"Wine, red, sparkling",338,0.2,0,2,2,7,0.09,0,0,0,0,0,0,0.18,6,0,per 100g
"Wine, rose",289,0.2,0,0.7,0.7,5,0.06,0,0,0,0,0,0,0.08,8,0,per 100g
"Wine, white, sauvignon blanc",296,0.2,0,0.1,0.1,2,0.06,0,0,0,0,0,0,0.09,8,0,per 100g
"Wine, white, semillon",270,0.2,0,0.2,0.2,6,0.08,0,0,0,0,6,0,0.21,9,0,per 100g
"Wine, white, chardonnay",310,0.3,0,0.3,0.3,4,0.1,0,0,0,0,0,0,0.17,7,0,per 100g
"Wine, white, riesling",292,0.2,0,0.4,0.4,7,0.08,0,0,0,0,0,0,0.1,10,0,per 100g
"Wine, white",301,0.3,0,0.2,0.2,4,0.08,0,0,0,0,1,0,0.16,8,0,per 100g
"Wine, white, cooked",107,0.2,0,0.3,0.3,5,0.08,0,0.06,0,0,2,0,0.15,9,0,per 100g
"Wine, white, sparkling",306,0.2,0,1,1,2,0.06,0,0,0,0,0,0,0.19,7,0,per 100g
"Wine, white, sweet dessert style",497,0.4,0,14.7,14.7,13,0.09,0,0,0,0,0,0,0.19,15,0,per 100g
"Wine, fortified, port",600,0.2,0,12.4,12.4,15,0.06,0,0.08,0,0,0,0,0.19,5,0,per 100g
"Wine, fortified, sherry, dry style (approximately 1% sugars)",435,0.1,0,1.2,1.2,19,0.06,0,0.05,0,0,0,0,0.06,5,0,per 100g
"Wine, fortified, sherry, sweet style (approximately 11% sugars)",577,0.2,0,11.1,11.1,18,0.06,0,0.05,0,0,0,0,0.1,4,0,per 100g
"Protein powder, whey based, protein >70%, unfortified","1,568",85,2.2,1.6,1.3,200,0.25,123,0.11,4.7,0.6,0,9,0.49,420,67,per 100g
"Protein powder, whey based, protein >70%, unfortified, prepared with water",261,14.2,0.4,0.3,0.2,36,0.04,20,0.02,0.8,0.1,0,1,0.09,71,11.2,per 100g
Cocoa powder,"1,335",22.1,15.2,10.5,1.5,81,7.5,62,0.3,0,0,0,5,30,170,10,per 100g
"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)","1,666",12.7,10.4,61.2,47.3,75,1.8,50,2,0,13.5,44,565,18,738,6.2,per 100g
"Beverage base, chocolate flavour, unfortified (Nesquik brand)","1,574",5.3,2.8,83.2,81,0,1.4,11,0,0,0,0,0,14,38,1.6,per 100g
"Beverage, chocolate flavour, from Nesquik powder, with regular fat cows milk",344,3.4,3.4,9.7,9.6,33,0.39,5,0.02,0.4,0.09,0,42,0.8,102,1.3,per 100g
"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",395,4.1,4,10.3,9.1,39,0.46,9,0.2,0.4,1.3,4,91,1.62,162,1.7,per 100g
"Beverage base, drinking chocolate, unfortified","1,508",5.6,4.8,76.3,74.3,160,2.5,7,0.02,0,0,0,1,1.9,41,2,per 100g
"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",356,3.5,3.5,10.2,10.1,44,0.48,4,0.02,0.3,0.08,0,41,0.15,101,1.3,per 100g
"Coffee, instant, dry powder or granules",588,18,0.3,3.6,3.4,61,0.29,0,0,0,0,0,0,2.8,150,4.1,per 100g
"Coffee, black, from instant coffee powder",5,0.2,0,0,0,3,0.01,0,0,0,0,0,0,0.03,3,0,per 100g
"Coffee, instant, dry powder or granules, decaffeinated",522,18,0.3,2.5,2.3,61,0.29,0,0,0,0,0,0,2.8,150,4.1,per 100g
"Coffee, black, from instant coffee powder, decaffeinated",5,0.2,0,0,0,3,0.01,0,0,0,0,0,0,0.03,3,0,per 100g
"Coffee mix, with beverage whitener & sugar, dry powder","1,645",13.1,12.7,56.1,38.3,380,1,6,0,0.3,0.27,3,0,0.69,340,5.4,per 100g
"Coffee, prepared from coffee mix with sugar & whitener, no added milk",82,0.6,0.6,2.8,1.9,22,0.05,0,0,0,0.01,0,0,0.04,18,0.3,per 100g
"Coffee, espresso, from ground coffee beans",40,1.7,0.3,0,0,2,0.06,0,0,0,0,0,0,0,11,0,per 100g
"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cows milk",195,2.8,2.5,3.4,3.4,29,0.37,0,0,0.3,0.06,0,24,0,95,2,per 100g
"Coffee, long black, from ground coffee beans",8,0.3,0.1,0,0,3,0.02,0,0,0,0,0,0,0,3,0,per 100g
